Report Year,"NYC Borough, Block and Lot (BBL)",City,Primary Property Type - Portfolio Manager-Calculated,Year Built,ENERGY STAR Score,Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Address 1
2022,1- 02090-0024,NEW YORK,Multifamily Housing,1909,34,3591399,3712495.1,265,31794,615 W 143RD STREET
2022,1-00002-0002,New York,Hotel,1900,Not Available,36220963.6,37279986.5,2243.4,193000,10 South Street
2022,1-00004-7501,New York,Office,1970,64,223447780.6,223455790.5,16458.5,2542563,1 Water Street
2022,1-00007-7501,New York,Multifamily Housing,1880,14,4211270.2,4293772.8,287.5,44907,66 Pearl Street
2022,1-00008-0044,NEW YORK,Data Center,1917,Not Available,31945520.8,32148605.3,2577.8,217034,104 BROAD ST
2022,1-00010-0014,New York,Office,1986,78,25976038.2,26448941,2074.1,405310,33 Whitehall Street
2022,1-00010-0016,New York,Office,1930,82,18215710.3,18794763.4,1423.9,376270,90 Broad Street
2022,1-00011-0014,New York,Multifamily Housing,1909,Not Available,3760639,3962875.3,221.5,54091,26 Beaver Street
2022,1-00013-0001,New York,Office,1921,69,10383086.9,10383086.9,850.5,204066,1 Broadway
2022,1-00015-0022,New York,Multifamily Housing,1931,29,23605964.8,23980815,1613.2,335746,21 West Street
2022,1-00015-7501,New York,Multifamily Housing,1902,84,64898658.4,65533783.4,5078.5,1421865,17 Battery Place
2022,1-00015-7502,New York,Multifamily Housing,1929,60,15874904.2,16177391.5,1185.4,259076,20 West St
2022,1-00016-0015,New York,Multifamily Housing,1999,85,12107949.2,12191667,792.8,222366,50 Battery Place
2022,1-00016-0020,New York,Multifamily Housing,1998,98,6747909.2,6414255.8,521.5,230765,70 Battery Place
2022,1-00016-0100,New York,Multifamily Housing,1970,78,80149618.5,82858022.2,5995.2,1722882,345 South End Avenue
2022,1-00016-0120,New York,Office,1986,86,98163790.5,99053437,2022.7,1485610,200 Liberty Street
2022,1-00016-0125,New York,Office,1986,76,181940150.5,182894254.6,14242.4,2577575,225 Liberty Street
2022,1-00016-0150,New York,Office,1986,86,148272815.3,150152999.5,11668.6,2025102,250 Vesey Street
2022,1-00016-0185,New York,Multifamily Housing,2006,2,44499171.8,44499171.8,2602.5,300000,211NEA
2022,1-00016-0195,New York,Multifamily Housing,2005,44,25853478.1,26265609.9,1604.6,322505,325 N END AVE
2022,1-00016-0210,NEW YORK,Multifamily Housing,1998,77,23525246.1,Not Available,1528.1,357000,41 RIVER TERRACE
2022,1-00016-0221,New York,Multifamily Housing,1997,33,15877060.8,16026353.1,1039,188216,450 North End Avenue
2022,1-00016-0225,New York,Office,1997,79,59818666.5,60154510.8,4859.1,515942,1 North End Avenue
2022,1-00016-7501,New York,Multifamily Housing,1985,71,15446731,15727892.7,965.4,220821,377 Rector Place
2022,1-00016-7502,New York,Multifamily Housing,1986,75,9360834,9741892.6,591,150667,320-350 Albany Street
2022,1-00016-7503,New York,Multifamily Housing,1987,46,8899724.5,9016038.9,558.5,117045,250 South End Avenue
2022,1-00016-7504,New York,Multifamily Housing,1986,63,8739977,8932451.7,562.4,96203,300 Albany Street
2022,1-00016-7505,New York,Multifamily Housing,1986,59,21810110.5,22328387.4,1345.2,281011,380 Rector Place
2022,1-00016-7506,New York,Multifamily Housing,1985,70,8300703.3,8414499.6,523.3,123483,280 Rector Place
2022,1-00016-7507,New York,Multifamily Housing,1986,86,8793448.7,9051719.2,553.3,163863,300 Rector Place
2022,1-00016-7508,New York,Multifamily Housing,1987,57,46614134.3,47675530.6,2839.3,555270,200 Rector Place
2022,1-00016-7508,New York,Multifamily Housing,1987,57,46614134.3,47675530.6,2839.3,555270,200 Rector Place
2022,1-00016-7509,New York,Multifamily Housing,1988,28,20402899.4,20662975.2,1295.6,225262,21 South End Avenue
2022,1-00016-7510,New York,Multifamily Housing,1989,39,25530545.5,25783839.7,1599.1,305973,99 Battery Place
2022,1-00016-7511,New York,Multifamily Housing,1988,30,16964135.7,17482007.6,1054,149637,2 South End Avenue
2022,1-00016-7512,NEW YORK,Movie Theater,2014,Not Available,4263805.9,4263805.9,360.5,72000,102 N END AVE
2022,1-00016-7512,New York,Hotel,2000,22,84615455,85305087.9,5740.1,628200,102 North End Avenue
2022,1-00016-7513,New York,Hotel,2001,80,47042958.5,48088450.2,2879.4,562340,2 West Street
2022,1-00016-7514,New York,Multifamily Housing,2006,35,34051540.6,33998859.6,2233.1,459270,30 West Street
2022,1-00016-7515,New York,Multifamily Housing,1985,94,11132525.1,Not Available,803.9,287819,225 Rector Place
2022,1-00016-7516,New York,Multifamily Housing,2008,41,34063066.6,34530188.8,2360,496637,2 River Terrace
2022,1-00016-7517,New York,Multifamily Housing,2008,1,70385659.6,69801591.5,4418.1,457771,70 Little West Street
2022,1-00016-7518,New York,Multifamily Housing,1986,66,15748537,16008665.5,1012.4,244891,333 Rector Place
2022,1-00016-7519,New York,Multifamily Housing,2008,15,21756750.3,22002397.2,1469.3,257618,300 North End Avenue
2022,1-00016-7520,New York,Multifamily Housing,2008,4,39222530.1,39765843.4,2722.1,410871,200 North End Avenue
2022,1-00016-7521,New York,Multifamily Housing,2000,86,18527174.8,Not Available,1181.6,332500,22 River Terrace
2022,1-00016-7522,New York,Multifamily Housing,1999,37,36348910.4,36951808.5,2257,440079,400 Chambers Street
2022,1-00017-0029,New York,Multifamily Housing,1969,82,19605756.3,19640552.3,1457,325672,90 Washington Street
2022,1-00017-7501,New York,Multifamily Housing,2016,51,32052306.7,32318927.4,2225,527901,50 West St
2022,1-00019-7501,Manhattan,Multifamily Housing,2018,61,12250811,12244709.2,1008.7,301426,77 Greenwich Street
2022,1-00020-0001,New York,Office,1929,83,18546590.3,19391386.3,1344.2,300954,29 Broadway
2022,1-00021-0006,New York,Multifamily Housing,1898,84,15303888.8,15370033.3,1022.7,317135,71 Broadway
2022,1-00022-0024,New York,Office,1927,83,15149588.6,15313863.3,1181.1,300676,50 Broadway
